Classifier,Accuracy,Precision,Recall,F1 Score
GaussianNB,0.6375711574952562,0.664618834204017,0.6375711574952562,0.5765665889114979
Decision Tree,0.937381404174573,0.9369929489181021,0.937381404174573,0.9369654099052737
Logistic Regression,0.7381404174573055,0.749752811008772,0.7381404174573055,0.7379020620157521
KNN,0.9070208728652751,0.9084764906938103,0.9070208728652751,0.9060449732139624
SVC,0.9392789373814042,0.9390025629019936,0.9392789373814042,0.9388474266041476
