Classifier,Accuracy,Precision,Recall,F1 Score
GaussianNB,0.7832512315270936,0.7669970682674856,0.7832512315270936,0.7651670466200095
Decision Tree,0.8916256157635468,0.8916940973442844,0.8916256157635468,0.8915652635342721
Logistic Regression,0.7783251231527094,0.7573729985313244,0.7783251231527094,0.7615451806857044
KNN,0.8817733990147784,0.8860355536517455,0.8817733990147784,0.8810018738090446
SVC,0.8916256157635468,0.8915652635342721,0.8916256157635468,0.8915718686437455
